verdict,segment,business,trade_tier,trade_kw,response,resp_hours,phone,email,likelihood,contact_id,why,ADVERTISER? (Kevin),RECENT RAQs (Kevin),RULING (keep/drop)
KEEP,never_emailed,Daniel Landscaping,CORE,landscap,4 hours,4,+14807493299,,4,c2Lqr44eAtzRWF4lz2nr,Small landscaping business with good reviews (5.0 rating) but 4-hour response time indicates potential for improved customer service systems and marketing autom,,,
KEEP,running,Daniel's Affordable Landscaping,CORE,landscap,,,+17605527329,danielsaffordable55@yahoo.com,0,ngjnhr8L0o7NIUhBUTsk,,,,
KEEP,call_now,Desert Diamond Air,CORE,hvac,2 hours,2,+16025358988,desertdiamondair@gmail.com,5,MYEW0wCrYTA4Rws6A9nC,"Excellent 2-hour response time and professional website. HVAC businesses have high-value jobs and need analytics for seasonal planning, equipment inventory, and",,,
KEEP,never_emailed,Desert Sage Landscaping,CORE,landscap,Unknown,,+16026640346,,4,oLMQKD47Rc85WhypTcNF,"Established landscaping company with good reviews, offers multiple services including irrigation and artificial grass, active on social media and has profession",,,
KEEP,running,Design Array Garage Door Store,CORE,garage door,,,,info@makemydoor.com,0,LU67FZv8nphoYX5aiQTY,,,,
KEEP,call_now,Divine Design Landscaping,CORE,landscap,Unknown,,+16027040821,clara@divinedesignlawncare.com,4,Vf39EfSAnw43GO5ahARz,"Full-service landscaping company offering construction, hardscapes, lawn care, tree services, and irrigation - comprehensive services suggest good business pote",,,
KEEP,call_now,Doherty Bros Window Pros,OUT,window clean,4 days,96,+16026035337,info@dohertybroswindowpros.com,5,IHtozCCm7aol56nHq0eG,Extremely slow response time (4 days) indicates critical need for lead response automation and customer service improvements,,,
KEEP,running,Dos Lunas Landscaping & Construction,CORE,landscap,,,+17202431076,25jovanni@gmail.com,0,rMl7GdcjsKnPyr2OwcA0,,,,
KEEP,running,EAP Landscaping,CORE,landscap,,,+18329384015,eaplandscapingllc1@gmail.com,0,350xnbNZDELIx2qd60Ap,,,,
KEEP,call_now,Envirogreen Landscape Design-Build,CORE,landscap,3 hrs,3,+16024030311,info.envirogreenaz@gmail.com,4,MtsFW2czNmi5dULMPfdI,"Established 20+ years, excellent reviews (4.9), certified professionals, locally owned, strong portfolio and customer referrals indicate high quality and reliab",,,
KEEP,running,Exterior Specialists,UNKNOWN,,,,,exteriorspecialist@sbcglobal.net,0,TakvwtoJDtBRLfyjqjqG,,,,
KEEP,never_emailed,Ezequiel's Landscaping,CORE,landscap,Unknown,,+16024872702,,4,211N9W5WYoACP2QftNnE,"Family-owned business with professional website, offers free quotes, serves entire Phoenix metro area, eco-friendly practices, and has positive customer testimo",,,
KEEP,running,Fifth Element Landscape,CORE,landscap,,,+16263996693,info@fifthelementlandscape.net,0,gSHWmfgasOu7jUi3OwQ0,,,,
KEEP,never_emailed,Fireside Pools,CORE,remodel,11 hours,11,+14802392087,,4,optvXqQPqAOIpsqFdWGk,"Website present and reasonable response time. Pool remodeling is high-ticket service in Phoenix market. These businesses benefit from seasonal analytics, custom",,,
KEEP,never_emailed,Fish Window Cleaning,OUT,window clean,Unknown - needs verification,,+16024412566,,4,yIMEaD9IKYY9OB1TOQGa,"National franchise with local presence, professional operation likely to respond to business opportunities",,,
KEEP,never_emailed,Five Star Handyman Services,ADJACENT,handyman,3 hrs,3,+14807975499,,4,oRjFMYICSHXfWs5mblnn,"Established handyman with 25 years in business, excellent reviews, certified professionals, strong local presence",,,
KEEP,never_emailed,Fix It All Handyman Services,CORE,plumb,2 hrs,2,+16027540222,,4,dVizr4Miy4gx10No9ZNN,"High rating (4.8 stars), excellent response time, established business owner with 15 years experience, serves multiple trades which indicates growth potential",,,
KEEP,running,"Freedom Roofing & Coatings, Inc.",CORE,roof,,,,info@freedomroofingaz.com,0,O7lHF7Kdpj5BnXNtND9P,,,,
KEEP,running,Gallantry Electric,CORE,electric,,,,gallantryelectric@gmail.com,0,w4bNQ4NZruaoMyBi5siD,,,,
KEEP,not_enrolled,Garcia's Windows & More,UNKNOWN,,,,+16029191826,info@garciaswm.com,0,GfW1jagDzdSZrKBcn6o9,,,,
KEEP,running,Gardens in Bloom Landscaping,CORE,landscap,,,+13034835105,meldena90@hotmail.com,0,xpELVyYh10wPndW81WLy,,,,
KEEP,running,Gibson Roofing,CORE,roof,,,,info@gibsonroofing.com,0,co57ufhQ8n6sQZrb1fjh,,,,
KEEP,call_now,Good Times Plumbing & Restoration,CORE,plumb,,,+14805258095,office@goodtimesrestoration.com,5,4Joa1uL7Jz4YFqLVq4L4,,,,
KEEP,never_emailed,Goodman's Landscape,CORE,landscap,Not specified (assumed >2 hours),2,+16028611144,,5,BFzuBvmzc85uFNzd279S,"Established company since 1984, licensed contractor, ALCA member, SLM certified green company, serves residential and commercial, comprehensive services includi",,,
KEEP,never_emailed,Gothic Landscape Inc,CORE,landscap,Unknown,,+16024701711,,4,30lONUBcLXyaGH1BezZP,"Commercial landscaping company with established Phoenix branch location, likely has budget for business services",,,
KEEP,never_emailed,Granado's Landscaping,CORE,landscap,6 hours,6,+14803954072,,4,D1sVqoEkn7JZ80J0ZSEV,High response time (6 hours) indicates less competition and potential availability for new clients. Established business with good reviews.,,,
KEEP,running,Green Dreams Landscape Design + Build,CORE,landscap,,,,office@greendreams.land,0,mWL4in05HJxqPMDmuJtr,,,,
KEEP,call_now,Green Forever Arizona Synthetic Turf & Pavers,CORE,turf,,,+18334764387,info@synturfdirect.com,4,PS4e1PpPy1P3bsnMgHgo,,,,
KEEP,call_now,GreenView Direct,UNKNOWN,,,,+18187482841,office@greenviewdirect.com,0,Lq8OlRHRQwMkpj8ATmbi,,,,
KEEP,running,Ground Zero Landscape,CORE,landscap,Unknown,,,chad@groundzerolc.com,0,Iwj7XZW9PspoKK5VjFeW,"Established landscape contractor with professional website, serves both residential and commercial, good testimonials indicate growth potential",,,
KEEP,call_now,Growscapes,UNKNOWN,,,,+19499296198,josie@growscapesoc.com,0,81wSHpLYavhojpYxEHrP,,,,
KEEP,never_emailed,Haley's Landscaping and Home Services,CORE,landscap,Unknown - needs verification,,+16026427477,,4,GGcKi8a7psIt7Sn3uJ6N,"Multi-service business offering both landscaping and home services, good diversification suggests growth-oriented company",,,
KEEP,never_emailed,Handyman Connection of Phoenix,ADJACENT,handyman,6 hours,6,+16023131336,,4,U8eBqvgaM3c8MKTU2rqL,6-hour response time with 100% response rate indicates established franchise business that could benefit from faster lead response automation to compete better,,,
KEEP,never_emailed,Hdz Carpentry,ADJACENT,contractor,5 hrs,5,+16025824535,,4,be50ox5EdmX62yelM43a,"General contractor with 4.7 rating and 13 reviews, family-owned with verified license but smaller review base suggests newer or smaller operation",,,
KEEP,running,"Hendrix Painting, Inc.",CORE,paint,,,,hendrixpainting87@gmail.com,0,1vZBwrcCW5LaDgOjy015,,,,
KEEP,running,"Hero AC & Heat LLC, 3009 N Rockwell Ave, Casa Grande, AZ",UNKNOWN,,,,,herohvac5@gmail.com,0,0JE4Cjno0ppyofOq23ny,,,,
KEEP,call_now,Homey Property Care,OUT,window clean,Unknown,,+19283887763,homeypropertycare@gmail.com,5,oPsQGAiPA0X6iH41vmkL,"Perfect 5.0 rating with 8 reviews, owner name identified (Francisco Cisneros), phone number available - strong indicators of responsive, quality service provide",,,
KEEP,running,Horizon Roofing,CORE,roof,,,,contact@horizonroofingca.com,0,7Vbuva6LxKVZfoX77YzH,,,,
KEEP,running,Integral Remodeling,CORE,remodel,3+ days,,+14809962390,integralremodelingaz@gmail.com,0,Ap9XBVFErjSGf9IrPvxC,Professional remodeling company with 100% response rate indicates strong customer service commitment. Multi-day response time suggests high demand and larger pr,,,
KEEP,running,J Powers Electric,CORE,electric,,,,info@jpowerselectric.com,0,MD9Pp3MLXY9kf2smP4bu,,,,
KEEP,running,Jesca Heating & Air Conditioning / HVAC Jesca Inc,CORE,hvac,,,,info@jescahvac.com,0,BItGjz8P4uW5pStT3bpE,,,,
KEEP,running,JNA Heating & Cooling,CORE,heating,,,,jna.ac@yahoo.com,0,wwWkqiqO9WYu9Z9bKCZz,,,,
KEEP,running,Joel & Sons Landscape Construction,CORE,landscap,,,+16269664682,joel_and_sons@yahoo.com,0,e7HTIFSC8BbFtgrAoJLt,,,,
KEEP,running,Johnny's Landscape and Maintenance,CORE,landscap,,,+16195002126,info@johnny-landscape.com,0,4UPd5TsFzcxx5wW6tS81,,,,
KEEP,running,JULY AZ LANDSCAPING,CORE,landscap,,,+16028374210,,0,1T3GFHq2fJeu65WPtPa5,,,,
KEEP,running,"KJC Roofing, Inc.",CORE,roof,,,,info@kjcroofing.com,0,jrDrPk719g2MZQ3kthyk,,,,
KEEP,never_emailed,Landscaping Contractors CRG LLC,CORE,landscap,Unknown,,+16025481088,,4,XSxahAezTUE9qYBDCE9J,"Established local contractor with ROC license, likely has steady business but may be open to new opportunities",,,
KEEP,running,Lansford Roofing Inc,CORE,roof,,,,service@lansfordroofing.com,0,MN3JoXjPUHajEB0W1o4h,,,,
KEEP,running,Liquid Oak Painting,CORE,paint,,,,liquidoakpainting@gmail.com,0,AonHtPDdodU77c5JMCqf,,,,
KEEP,running,Local Choice Pest & Landscape Nutrition,CORE,landscap,,,,info@localchoicepest.com,0,W7yjGg2BTaHYxI0XzVbz,,,,
KEEP,running,Mendoza Brothers Landscaping,CORE,landscap,,,+13035317189,mendozasamuel408@gmail.com,0,8rRhZBeuVNL65zacKZj2,,,,
KEEP,running,Merican Plumbing Sewer Specialist,CORE,plumb,,,,info@mericanplumbingsewerspecialist.com,0,DsNgDBRoQXLZSJWk0Obq,,,,
KEEP,call_now,Miko LLC,ADJACENT,contractor,Not specified (assumed >2 hours),2,+16028882826,info@mikollc.com,5,mrLSOTV9wHQCjMVLg4u6,"Licensed general contractor with multiple certifications, serves commercial/residential/government, design-build company, excellent customer reviews, comprehens",,,
KEEP,call_now,Nevarez Landscape,CORE,landscap,3 hrs,3,+14805586293,info@nevarezlandscapeservices.com,5,aN4y0YlT8I6Meaaf2kKE,"Highly rated (4.7 stars, 84 reviews) family-owned landscaping company with 3-hour response time. Yelp advertiser indicates active marketing. Strong customer sat",,,
KEEP,call_now,Newport Landscape,CORE,landscap,,,+18006544598,info@newportlandscapes.com,0,sgnyfEICSt4bKrK0vVtK,,,,
KEEP,running,Nombrano Construction,ADJACENT,contractor,10 hours,10,,info@nombrano-construction.com,0,Tyj52dN9zBY5xma81zGP,"Construction company with 10-hour response time and 100% response rate, operates 24 hours but slow response suggests manual processes that could benefit from au",,,
KEEP,running,On Point Exterminating,CORE,exterminat,,,,info@opexterminating.com,0,CjgHTeJRp3vJ9Fn1IRxW,,,,
KEEP,never_emailed,One Home Solution,ADJACENT,handyman,"4+ hours (Serves entire Maricopa County, likely longer scheduling times)",4,+18662015856,,4,a2GIfppJbg1OR9AFECt1,"Multi-service company (handyman, window washing, painting), serves entire Maricopa County, 30-day guarantee, professional website, free estimates, local experti",,,
KEEP,running,Overson Pest Control,CORE,pest,,,,info@oversonpestcontrol.com,0,lEPZPsjHjpS1LoNojdfb,,,,
KEEP,running,Partnership Painting,CORE,paint,,,,scott@partnershippainting.com,0,6uu0JE1A56MLYNTp16jQ,,,,
KEEP,call_now,Phoenix Handyman Home Repair,ADJACENT,handyman,"3+ hours (Single owner operation, available weekends for emergency)",3,+16025502139,phoenixhomerepair21@gmail.com,5,lKmYr0ssB9EH3sCivfF3,"5.0 star rating with 6 reviews, licensed & insured, single owner (Joe Vaughan) provides personal service, wide range of services, professional website, free est",,,
KEEP,call_now,Phoenix Window Cleaning,OUT,window clean,Unknown - needs verification,,+16026639326,office@am-pros.com,4,JWJCfQZP93Zr6xMaq6qF,"Established business with professional website, multiple services, and clear contact info. Good prospect for B2B services.",,,
KEEP,running,Platinum Paving & Landscaping,CORE,landscap,,,+16263857493,platinum.paving.landscaping@gmail.com,0,43XzFTxCwdYf55t7o7ss,,,,
KEEP,running,Prima Painting LLC,CORE,paint,,,,info@primapaintingllc.com,0,k3HLA55luFN61kWuDIOn,,,,
KEEP,call_now,Pro Natural Landscape LLC,CORE,landscap,Unknown,,+16026439342,pronaturallandscape@outlook.com,4,maZd3zxrwCwMgY3jaggJ,"Established business with 11+ years experience, professional website, multiple services, good customer reviews, and active online presence indicating growth pot",,,
KEEP,running,"Pro Service Electricians, Inc.",CORE,electric,,,,info@proserviceelectricians.com,0,UQdZYZwHklQXR21ZDIfb,,,,
KEEP,never_emailed,Professional Window Cleaning,OUT,window clean,>2 hours,2,+14808391707,,4,9RQX66AnHeETCNMa7Aiw,"Established business with professional website and 25+ years experience, likely has budget for business services and growth initiatives",,,
KEEP,running,Rafael and Iris Roofing,CORE,roof,,,,info@rafaelandirisroofing.com,0,98KdOONSffpGoBv9HMxR,,,,
KEEP,running,Ramos Painting Services,CORE,paint,,,,ramgb1023@gmail.com,0,7du3GOPU4l38mShgCtc3,,,,
KEEP,hot,Rebuild Arizona Construction,ADJACENT,contractor,7 hrs,7,+16025741100,rebuildaz24@gmail.com,4,Xpy1wlMDlcNNjAcIaYZQ,"Full-service general contractor with 4.7 rating and 70 reviews, verified license, free estimates and emergency services available, strong market presence",,,
KEEP,running,Reliant Pest Control,CORE,pest,,,,info@reliantpestcontrol.com,0,bi04n7M4FhGzxTvgTcbd,,,,
KEEP,running,Resolve Landscape Corp,CORE,landscap,,,,resolvelandscape@gmail.com,0,vSKFfGvsrLI6Sl7stKZv,,,,
KEEP,not_enrolled,Reyes Roofing,CORE,roof,,,+14808283040,reyesroofingllc@gmail.com,0,3zN00ftZORNLbg1aFg3V,,,,
KEEP,running,Ricardo Painting,CORE,paint,,,+13239454515,rck_solis1@yahoo.com,0,TY10vnXnhC3zPJe5WKLl,,,,
KEEP,never_emailed,Rite Way,CORE,hvac,7 hours,7,+16028898600,,4,b7Z8uPsAsQBzjoLHxlWL,Long response time (7 hrs) on Yelp despite being a large established company suggests they may need better lead management tools. High review count (69) and act,,,
KEEP,call_now,Ron S,UNKNOWN,,,,+14809082816,ron@metrocleaning.net,0,81kOz58KUAIrSmCo3BWK,,,,
KEEP,running,Roofing Systems Incorporated,CORE,roof,,,,info@roofingsysteminc.com,0,RA8pOiSfH6Qsw3u0s1r0,,,,
KEEP,running,"S & M Electric, Inc.",CORE,electric,,,,info@sandmelectricinc.com,0,H4I0LWLT5PsbXQsiKIvj,,,,
KEEP,call_now,Sal's Landscape Construction,CORE,landscap,Unknown - needs verification,,+16026699410,salslandscape@outlook.com,5,Y4hCNM952439m1EpQTCK,"Established landscape construction company with 352 photos on Yelp, shows active business presence and customer engagement",,,
KEEP,running,San Francisco Landscaping,CORE,landscap,,,+14085108303,sflandscapingteam@gmail.com,0,aioRtHWKtgTF86Kn1oXo,,,,
KEEP,running,Scenic View Landscape,CORE,landscap,,,,info@scenicviewlandscapeinc.com,0,CV8pdZRPM28waueeOCBu,,,,
KEEP,running,"Sierra Vista Roofing, LLC",CORE,roof,,,,sierravistaroofing@gmail.com,0,czfVcPzLgj5dSiMjd14L,,,,
KEEP,never_emailed,Sky View Window Cleaning LLC,OUT,window clean,2 hrs,2,+16233497012,,4,ePxWCWqR2LrRWnXxpFU1,"Family-owned business with 19+ years experience, responsive, good for recurring service contracts",,,
KEEP,never_emailed,Sonoran Window Cleaning,OUT,window clean,5 hours,5,+14804932484,,4,zZydBEFUtrpLfMqZr1D2,"5-hour response time indicates need for faster lead response automation, established business with website and good Yelp presence",,,
KEEP,never_emailed,Squeeky Kleen Windows,OUT,window clean,Not specified (assumed >2 hours),2,+14802211240,,4,52SdkwW9BhhXknlWUTNl,"Established company with professional website, veteran-owned, covers entire Phoenix area, offers multiple services including window cleaning and solar panels - ",,,
