Category,Business Name,Owner Name,Response Time,Phone,Website,Yelp URL,Purchase Likelihood (1-5),Likelihood Reasoning,EMAIL,SUBJECT,_all_emails
Roofers,North Canyon Roofing and Coating,Eric T.,2 hours,(602) 469-9479,,https://www.yelp.com/biz/north-canyon-roofing-and-coating-glendale,3,"Excellent 2-hour response time but no website visible. Roofing is high-value industry that benefits from analytics, but lack of website suggests mid-level digital adoption. Moderate likelihood - could be convinced with right value proposition.",,,
Mobile Auto Detailing,Detail Boss,Christian and Chris P.,12 hours,(480) 823-5858,scottsdalecardetailing.com,https://www.yelp.com/biz/detail-boss-scottsdale-3,4,"Website present and Scottsdale location (affluent market). Mobile services benefit from route optimization, customer retention analytics, and subscription tracking. Partnership ownership shows growth mindset. Good candidate.",,,
Home Cleaning,GCM House Cleaning,Cristina H.,2 hours,(602) 348-3071,,https://www.yelp.com/biz/gcm-house-cleaning-phoenix,3,"Fast 2-hour response time shows strong operations but no website. Cleaning services benefit from scheduling analytics and customer retention tracking, but lack of website suggests limited tech investment currently. Moderate fit.",,,
,,,,,,,,,admin@azlawns.com,,admin@azlawns.com
,,,,,,,,,admin@azlawns.com,,admin@azlawns.com
Landscaping,JCast Landscaping,,1 day,,,https://www.yelp.com/biz/jcast-landscaping-phoenix,3,Landscaping services have moderate purchase likelihood as homeowners regularly need maintenance and seasonal services/ website is not functioning ,,,
Window Cleaning,AZ Window Cleaners,,Unknown,(602) 663-9326,,https://www.yelp.com/biz/az-window-cleaners-phoenix,4,"Established business with good rating (4.8 stars) and 5 reviews, has physical address and phone number indicating professional operation",,,
Window Cleaning,Krystal Clear Windows,,Unknown,(602) 513-3790,,https://www.yelp.com/biz/krystal-clear-windows-phoenix,3,"Lower rating (3.1 stars) with 15 reviews, but has established presence and phone number",,,
,,,,,,,,,admin@azlawns.com,,admin@azlawns.com
Landscaper,SOl Seekers,Dave,3 hours,(623) 335-5157,,,,,,,
Landscaping,Landscaping Contractors CRG LLC,Chuck Giordano,Unknown,(602) 548-1088,https://landscapingcontractorsaz.com/,Not available,4,"Family-run business since 1978 with established reputation and professional website, shows stability and growth potential",,,
"Window Cleaning, Landscaping",Blue Sky Window Cleaning & Landscaping Services,,4+ hours,,,https://www.yelp.com/biz/blue-sky-window-cleaning-and-landscaping-services-phoenix,3,"Multi-service provider (window cleaning + landscaping) suggests established business with diverse revenue streams, but smaller operation may have limited marketing budget",,,
"Window Washing, Landscaping, Tree Services",Five Star Property Maintenance,,3+ hours,,,https://www.yelp.com/biz/five-star-property-maintenance-phoenix,4,"Good rating (4.3/5) and multi-service offering suggests quality work and growth potential, likely seeking marketing solutions to expand customer base",,,
Landscaping,G&S Landscaping,,30 minutes,,,https://www.yelp.com/biz/g-and-s-landscaping-phoenix-3,4,Established landscaping business with good response time and 4.6 rating with 45 reviews indicates professional operation and potential for larger projects,,,
General Contractors,AZ Remodel Pros,,8 hrs,,,https://www.yelp.com/biz/az-remodel-pros-phoenix,3,100% response rate but 8hr response time suggests busy with existing clients - moderately likely to purchase additional services,azremodelpros@gmail.com,,azremodelpros@gmail.com
Landscaping,Sal's Landscape Construction,Sal,2 hrs,,,https://www.yelp.com/biz/sal-s-landscape-construction-phoenix,4,"100% response rate with 2hr response time, landscaping businesses often need ongoing supplies and services",,,
Landscaping,Luxury Turf and Green,,3 hours,,,https://www.yelp.com/search?cflt=landscaping&find_loc=Phoenix%2C+AZ+85028,4,"Landscaping services typically have good purchase likelihood, especially with 3-hour response time indicating active business engagement",,,
"Window Cleaning, Landscaping",Blue Sky Window Cleaning & Landscaping Services,,Estimated >2 hours,,,https://www.yelp.com/biz/blue-sky-window-cleaning-and-landscaping-services-phoenix,3,"Multi-service provider (window cleaning + landscaping) suggests established business with diverse revenue streams, moderate likelihood for additional services",,Blue Sky Window Cleaning & Landscaping Services - Phoenix-based multi-service provider,
"Window Cleaning, Property Care",Homey Property Care,Francisco Cisneros,Estimated >2 hours,(928) 388-7763,,https://www.yelp.com/biz/homey-property-care-phoenix,4,"High-rated (5 stars) small business with personal owner involvement, good reputation suggests higher likelihood for quality service purchases",homeypropertycare@gmail.com,,homeypropertycare@gmail.com
Landscaping,AAA Landscape,,Unknown - requires further investigation,602.437.2690,https://www.aaalandscape.com/,,4,"Established company with professional website and clear contact information, appears to be actively marketing services",,,
Window Cleaning & Landscaping,Blue Sky Window Cleaning & Landscaping Services,,Unknown,(602) 386-7380,,https://www.yelp.com/biz/blue-sky-window-cleaning-and-landscaping-services-phoenix,3,"Dual service offering (window cleaning + landscaping) suggests established business with diverse revenue streams, but limited online presence information available",,,
Property Maintenance,Five Star Property Maintenance,,Unknown,,,https://www.yelp.com/biz/five-star-property-maintenance-phoenix,4,"Multi-service provider (window washing, landscaping, tree services) with 4.3 star rating indicates established business with good customer satisfaction",,Five Star Property Maintenance - Prospecting Lead,
Window Cleaning,Homey Property Care,Francisco Cisneros,Unknown,(928) 388-7763,,https://www.yelp.com/biz/homey-property-care-phoenix,5,"Perfect 5.0 rating with 8 reviews, owner name identified (Francisco Cisneros), phone number available - strong indicators of responsive, quality service provider",homeypropertycare@gmail.com,,homeypropertycare@gmail.com
"Window Cleaning, Landscaping",Blue Sky Window Cleaning & Landscaping Services,,Unknown,(602) 386-7380,,https://www.yelp.com/biz/blue-sky-window-cleaning-and-landscaping-services-phoenix,4,Multi-service business (window cleaning + landscaping) with established Yelp presence suggests they invest in marketing and likely purchase business services regularly,,,
"Property Maintenance, Window Washing, Landscaping, Tree Services",Five Star Property Maintenance,,Unknown,,,https://www.yelp.com/biz/five-star-property-maintenance-phoenix,4,Multi-service property maintenance company with good Yelp rating (4.3/5) and active customer reviews suggests professional operation likely to invest in business services,,,
Window Cleaning & Landscaping,Blue Sky Window Cleaning & Landscaping Services,,Over 2 hours,(602) 386-7380,,https://www.yelp.com/biz/blue-sky-window-cleaning-and-landscaping-services-phoenix,4,"Multi-service provider with both window cleaning and landscaping services, likely to have higher service needs and budget for additional services",,,
Landscaping,Mariano's Landscaping Maintenance,,11 hours,,,https://www.yelp.com/biz/marianos-landscaping-maintenance-phoenix-3,4,"High rating (4.7/5) with good review count (11), but slow response time (11 hours) indicates potential need for better customer service systems",,,
General Contractor,Nombrano Construction,,10 hours,,,https://www.yelp.com/biz/nombrano-construction-phoenix,4,"100% response rate shows reliability, but 10-hour response time indicates room for improvement in customer service speed",,,
Window Cleaning,Outside Cleaning Services,,1 day,,,https://www.yelp.com/biz/outside-cleaning-services-phoenix,3,"Very slow response time (1 day) and low response rate (25%) indicates poor customer service, but window cleaning is a needed service",,,
General Contractor,Phoenix General Contractor (4hr response),,4 hrs,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,4,"Good rating (4.6/5) with high review count (1270), 100% response rate, but 4-hour response time could be improved for better customer service",,,
Windows & Doors,Phoenix Commercial Glazing Contractor,,3 days,,,https://downtobid.com/contractors/glazing/phoenix,2,Very slow response time (3 days average) indicates poor customer service and likely losing business to faster competitors,,,
HVAC,Arizona Cooling and Heating Specialists LLC,,90 minutes,,https://www.arizonacoolingandheatingspecialistsllc.com,https://www.arizonacoolingandheatingspecialistsllc.com/service-areas/phoenix-az,3,90-minute response time is better than many but still room for improvement in customer service speed for HVAC emergencies,,,
Window Treatment Store,Arizona's Blind Brothers,,Not specified,(480) 548-2224,,,4,"Established window treatment business with good ratings, likely to need marketing services for lead generation",,,
Window Treatment Store,Arizona Blinds Company,,Not specified,(623) 900-1316,arizonablindscompany.com,,4,"Well-rated window treatment company with established online presence, good prospect for marketing services",hello@arizonablindscompany.com,,hello@arizonablindscompany.com
Window Treatment Store,Arizona Window Coverings Center,,Not specified,(602) 223-1173,,,5,"Highly rated window treatment business with 214 reviews, established presence, excellent prospect for marketing services",office@arizonawcc.com,,office@arizonawcc.com
Landscaping,AMS Landscaping,,11 hours,(602) 944-0421,azlawns.com,,5,"Established landscaping company since 1969 with 11-hour response time, perfect target for faster response marketing services",admin@azlawns.com,,admin@azlawns.com
Window Cleaning Service,AZ Window Cleaners,,Not specified,,phoenixwindowcleaning.com,,4,"15+ years in business with 4.9 rating, established window cleaning service likely needing lead generation",,AZ Window Cleaners - Window Cleaning Service,
Landscaping,Sol Seekers,,2 hours,,Solseekerslandscaping.com,,4,"Landscaping company with exactly 2-hour response time, good candidate for faster response marketing services",,,
General Contractors,Nombrano Construction,,10 hours,,,,5,"General contractor with 10-hour response time and 100% response rate, excellent target for faster response marketing services",,,
General Contractors,EL Construction,,1 day,,,,5,"General contractor with 1-day response time and 4.8 rating, prime candidate for faster response marketing services to improve lead conversion",,,
General Contractors,Old Reliable Construction,,Not specified,(602) 935-1485,,,3,"Small contractor with 4.2 rating and 5 reviews, moderate prospect for marketing services",,,
Landscaping,Pro-Service Landscaping & Construction,,2 hours,,,https://www.yelp.com/biz/pro-service-landscaping-and-construction-phoenix-2,4,Landscaping business with 100% response rate and 2-hour response time indicates good customer service but slower response suggests they may be busy and could benefit from efficiency tools,,,
Window Cleaning,Clean Rite Window Service,,12 hours,,,https://www.yelp.com/biz/clean-rite-window-service-goodyear,3,"Window cleaning service with 12-hour response time suggests room for improvement in customer responsiveness, moderate likelihood for efficiency solutions",,,
Shades & Blinds,Arizona Blinds and More,,8 hours,,,https://www.yelp.com/search?cflt=blinds&find_loc=Phoenix%2C+AZ,4,Shades and blinds business with 8-hour response time and 100% response rate shows commitment but slow response indicates potential for automation tools to improve efficiency,,,
General Contractors,Phoenix Home Remodeling,,3 hours,,,https://www.yelp.com/biz/phoenix-home-remodeling-chandler-2,4,"Home remodeling contractor with 3-hour response time and 100% response rate, good ratings (5 stars, 30 reviews) suggests established business that could benefit from faster response automation",,Phoenix Home Remodeling - Prospecting Lead,
General Contractors,Nombrano Construction,,10 hours,,,https://www.yelp.com/biz/nombrano-construction-phoenix,3,"Construction company with 10-hour response time and 100% response rate, operates 24 hours but slow response suggests manual processes that could benefit from automation",,,
Windows & Doors,Factory Direct Windows,,1 day,,,https://www.yelp.com/biz/factory-direct-windows-phoenix,5,Windows installation business with 1-day response time and 100% response rate shows very slow response despite good service commitment - high potential for automation solutions to dramatically improve customer experience,travis@factorydirectwindows.com,Factory Direct Windows - Prospecting Lead,travis@factorydirectwindows.com
Windows & Doors,Phoenix Sliding Doors,,50 minutes,,,https://www.yelp.com/biz/phoenix-sliding-doors-phoenix-2,2,"Sliding doors specialist with 50-minute response time and 100% response rate - already has good response time under 2 hours, lower likelihood for automation needs",,,
Windows & Doors,Desert King Windows,,10 minutes,,,https://www.yelp.com/biz/desert-king-windows-phoenix-2,1,"Windows contractor with 10-minute response time and 100% response rate - excellent response time well under 2 hours, very low likelihood for automation needs",,,
HVAC,Phoenix HVAC Contractor,,3 hours,,,https://www.yelp.com/search?cflt=hvac&find_loc=Phoenix%2C+AZ,4,HVAC contractor with 3-hour response time and 100% response rate - good service commitment but slower response in emergency HVAC situations could benefit from automation for faster customer communication,,,
Home Organization,AZ Home Glow,,50 minutes,,,https://www.yelp.com/search?find_desc=Home+Organization&find_loc=Phoenix%2C+AZ,2,"Home organization service with 50-minute response time and 100% response rate - good response time under 2 hours, lower likelihood for automation needs",,AZ Home Glow,
Landscaping,Pro Natural Landscape LLC,Elmer ,Unknown,(602) 643-9342,https://pronaturallandscape.com/,,4,"Established business with 11+ years experience, professional website, multiple services, good customer reviews, and active online presence indicating growth potential",,,
Window Treatments/Blinds,Arizona Blinds Company,Jack,Unknown,(623) 900-1316,https://arizonablindscompany.com/,,4,"Established business with professional website, good reviews (4.9 stars), multiple contact methods, operating hours listed, and active chat support indicating growth potential",hello@arizonablindscompany.com,,
Home Services/Handyman,TPG Home Services,,4 hours,(602) 400-2369,,https://www.yelp.com/biz/tpg-home-services-phoenix,3,"Mid-sized home services company with decent response time, established Yelp presence with good ratings (4.7 stars, 13 reviews), offers multiple services which indicates growth potential",,,
Landscaping,Green Forever Arizona Synthetic Turf & Pavers,,1 day,info@synturfdirect.com,,https://www.yelp.com/biz/green-forever-arizona-synthetic-turf-and-pavers-phoenix,4,"Specialized landscaping company with high-end services (synthetic turf, pavers), 1-day response time indicates high demand, good ratings (4.7 stars, 84 reviews), likely has budget for marketing services",info@synturfdirect.com,,info@synturfdirect.com
Moving Services,Moving At Ease,,4 hours,,,https://www.yelp.com/biz/moving-at-ease-scottsdale,3,"Moving company with 4-hour response time, good ratings (4.5 stars, 113 reviews), moving companies often need marketing services for lead generation",,,
Moving Services,Budget Movers,,3 hours,,,https://www.yelp.com/biz/budget-movers-glendale-2,3,"Budget-focused moving company with 3-hour response time, good ratings (4.4 stars, 159 reviews), budget companies often seek cost-effective marketing solutions",,,
Windows and Doors,Factory Direct Windows,,1 day,,,https://www.yelp.com/biz/factory-direct-windows-phoenix,4,"Factory direct business model suggests good margins, 1-day response time indicates high demand, perfect 5-star rating shows quality service, likely has budget for marketing to maintain growth",travis@factorydirectwindows.com,,travis@factorydirectwindows.com
Windows and Doors,K & J Windows,,6 hours,,,https://www.yelp.com/biz/k-and-j-windows-phoenix,4,"Specialized in residential replacement windows and doors, 6-hour response time indicates busy operation, excellent ratings (4.7 stars, 211 reviews), established business likely has marketing budget",,,
Windows and Doors,Sunny State Glass,,8 hours,,,https://www.yelp.com/biz/sunny-state-glass-phoenix,3,"Glass and windows company with 8-hour response time, perfect 5-star rating but only 7 reviews suggests smaller operation, 75% response rate indicates some capacity issues",,,
Glass & Mirrors,Valleywide Glass,,12 hours,,,https://www.yelp.com/biz/valleywide-glass-phoenix-6,3,"Glass company with 12-hour response time indicates very busy operation, good ratings (4.3 stars, 22 reviews), 100% response rate shows reliability, moderate purchase likelihood due to slower response",,,
Windows and Doors,Apodaca's Glass & Door,,3 hours,,,https://www.yelp.com/biz/apodacas-glass-and-door-phoenix-2,4,"Established glass and door company with 3-hour response time, good ratings (4.3 stars, 57 reviews), 100% response rate shows excellent customer service, likely has steady revenue for marketing investment",,,
Landscaping,Ground Zero Landscape,Chad,Unknown,,http://www.groundzerolc.com/,https://www.yelp.com/biz/ground-zero-landscape-phoenix,4,"Established landscape contractor with professional website, serves both residential and commercial, good testimonials indicate growth potential",,,
Landscaping,Goodman's Landscape Maintenance,Unknown,Unknown,602-861-1144,http://www.goodmanslandscape.com/,https://www.yelp.com/biz/goodmans-landscape-maintenance-llc-phoenix,5,"40+ years in business, established company with professional website, ROC licensed, ALCA member, serves both residential and commercial",,,
Windows and Doors,K & J Windows,Unknown,20 minutes,,,https://www.yelp.com/biz/k-and-j-windows-phoenix,3,"Fast response time (20 min) but specializes in residential replacement windows, may have lower volume needs",,,
Windows and Doors,Factory Direct Windows,Unknown,1 day,,,https://www.yelp.com/biz/factory-direct-windows-phoenix,4,"1 day response time indicates high demand, 100% response rate, factory direct suggests volume business",travis@factorydirectwindows.com,,travis@factorydirectwindows.com
Windows and Doors,Krasiva Windows and Doors,Unknown,11 hrs,,,https://www.yelp.com/biz/krasiva-windows-and-doors-phoenix,5,"11 hour response time indicates very busy business, high demand suggests strong revenue potential",,,
General Contractors,AZ Remodel Pros,Unknown,4 days,,,https://www.yelp.com/biz/az-remodel-pros-phoenix,5,"4 day response time indicates extremely busy contractor, 100% response rate, remodeling contractors typically have high project values",azremodelpros@gmail.com,,azremodelpros@gmail.com
Landscaping,Colorworks Landscaping,Jon,24 hours,602-492-2206,https://colorworkslandscapeaz.com,https://www.yelp.com/biz/colorworks-landscaping-phoenix-8,4,"Established company with 25+ years experience, active online presence, professional website, and good reviews indicating strong business operations",info@colorworkslandscapeaz.com,,info@colorworkslandscapeaz.com
Landscaping/Hardscaping,Camelback Hardscapes,Unknown,3+ hours,480-600-8011,,https://www.yelp.com/biz/camelback-hardscapes-scottsdale,3,"Established hardscaping company in Scottsdale area with good reviews, but limited online presence and contact information",,,
Landscaping/Design,Envirogreen Landscape Design-Build,Unknown,30 minutes,Not found on website,https://envirogreenaz.com,https://www.yelp.com/biz/envirogreen-landscape-design-build-scottsdale,5,"Premium landscape design company with 25 years experience, professional 3D design services, comprehensive website, fast response time, and serves high-end areas like Scottsdale and Paradise Valley",info.envirogreenaz@gmail.com,,info.envirogreenaz@gmail.com
Landscaping,Granado's Landscaping,,6 hours,(480) 395-4072,,https://www.yelp.com/biz/granados-landscaping-phoenix,4,High response time (6 hours) indicates less competition and potential availability for new clients. Established business with good reviews.,,,
Landscaping,Friendly Professional Landscaping,,6 hours,,,https://www.yelp.com/biz/friendly-professional-landscaping-phoenix,4,6-hour response time suggests lower competition and potential availability. Professional landscaping services with established presence.,,,
Landscaping,KO's Landscaping,,3 hrs,,,,3,3-hour response time indicates moderate availability. Has 66 reviews but only 25% response rate suggests potential opportunity for better service.,,,
Landscaping,Colorworks Landscaping,Unknown,3+ hours,602-492-2206,https://colorworkslandscapeaz.com/,https://www.yelp.com/biz/colorworks-landscaping-phoenix-8,4,"Well-established landscaping company with professional website, active social media presence, and good online reviews - strong potential for equipment purchases",info@colorworkslandscapeaz.com,,info@colorworkslandscapeaz.com
Landscaping,Nevarez Landscape,Unknown,3+ hours,480-558-6293,https://nevarezlandscapeservices.com,https://www.yelp.com/biz/nevarez-landscape-phoenix,4,"Family-owned landscape company with 20+ years experience, professional website, and strong review ratings - good potential for equipment needs",info@nevarezlandscapeservices.com,,info@nevarezlandscapeservices.com
Window Cleaning,Jay's Window Cleaning,Unknown,30 minutes,602-399-3556,https://jayswindowcleaning.com/,Unknown,3,Family-owned window cleaning service with quick response time but smaller operation - moderate potential for equipment purchases,,,
Window Cleaning,AZ Window Cleaners,Unknown,20 minutes,,,https://www.yelp.com/biz/az-window-cleaners-phoenix,3,Window cleaning service with fast response time but limited online presence - moderate potential for equipment purchases,,,
General Contractor,Exact Building,,4 days,(602) 421-8199,,https://www.yelp.com/biz/exact-building-phoenix,3,General contractor with slow response time indicates potential capacity issues but established business presence,,,
General Contractor,Valley Paraiso,,5 hrs,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,4,"5-hour response time suggests busy but responsive business, likely has steady work flow",,,
General Contractor,Rebuild Arizona Construction,,4 hrs,,,https://www.yelp.com/biz/rebuild-arizona-construction-phoenix-2,4,"4-hour response time indicates busy contractor with good business flow, responsive customer service mentioned in reviews",,,
Window Cleaning,Fish Window Cleaning,,8 hrs,,,https://m.yelp.com/search?find_desc=fish+window+cleaning&find_loc=Phoenix%2C+AZ,3,"8-hour response time suggests moderate demand, established franchise brand with 100% response rate",,,
Landscaping,Divine Design Landscaping,,3 hrs,,,https://www.yelp.com/search?cflt=landscaping&find_loc=Phoenix%2C+AZ+85013,4,"3-hour response time with 100% response rate indicates reliable service, good customer engagement",,,
Windows & Doors,"Affordable Windows, Doors & More",,2 days,,,https://www.yelp.com/search?find_desc=Window+Screens&find_loc=Sahuarita%2C+AZ,2,"2-day response time suggests very slow customer service, may indicate capacity issues or poor business management",,,
Windows & Doors,Energy Shield Windows Doors,,2 hrs,,,https://www.m.yelp.com/search?find_desc=Doors+and+Windows&find_loc=Casa+Grande%2C+AZ,5,"Exactly 2-hour response time threshold, 100% response rate, established business with verified license",,,
General Contractor,Phoenix General Contractor,,1 day,,,https://m.yelp.com/search?cflt=contractors&find_loc=Dmg+Financial%2C+Phoenix%2C+AZ+85050,2,1-day response time with 50% response rate indicates inconsistent customer service and potential reliability issues,,,
Awnings,Phoenix Awning Company,,12 hrs,,,https://www.yelp.com/search?cflt=awnings&find_loc=Ahwatukee+Foothills+Village%2C+Phoenix%2C+AZ,3,"12-hour response time with 100% response rate suggests busy but reliable business, specialized awning services",,,
Handyman,Honest Handyman Service,,5 hours,,,https://www.yelp.com/biz/honest-handyman-service-phoenix,4,"5-hour response time with 100% response rate indicates busy but reliable handyman service, good customer engagement",,,
Landscaping,Landscaping Contractors CRG LLC,,Unknown,602-548-1088,https://landscapingcontractorsaz.com/,,3,"Established local contractor with ROC license, likely has steady business but may be open to new opportunities",,,
Landscaping,Goodman's Landscape,,Unknown,,https://www.goodmanslandscape.com/,,4,"Phoenix landscaping company serving community since 1984, established reputation suggests good potential for services",,,
Landscaping,Gothic Landscape Inc,,Unknown,602-470-1711,https://gothiclandscape.com/location/arizona/,,4,"Commercial landscaping company with established Phoenix branch location, likely has budget for business services",,,
Landscaping,AAA Landscape,,Unknown,602-437-2690,https://www.aaalandscape.com/contact-us/,,3,"Established landscaping company with Phoenix office, standard business profile suggests moderate potential",,,
Landscaping,Divine Design Landscaping,,Unknown,602-769-4564,https://www.divinedesignlawncare.com/,,4,"Full-service landscaping company offering construction, hardscapes, lawn care, tree services, and irrigation - comprehensive services suggest good business potential",,,
Landscaping,AMS Landscaping,,Unknown,602-944-0421,https://azlawns.com/,,4,"Established company serving Phoenix since 1969, long history and residential/commercial services indicate strong business potential",admin@azlawns.com,,admin@azlawns.com
Window Cleaning,Crystal Clear Choice Window Cleaning,,Unknown,602-824-8832,https://www.cccwindowcleaning.com/contact,,3,"Local window cleaning service with established contact information, moderate potential for business services",,,
Landscaping,Valle Verde Lawn Care,,3+ hours,,,https://www.yelp.com/search?cflt=landscaping&find_loc=Phoenix%2C+AZ,4,Landscaping services typically have higher purchase intent as they require ongoing maintenance contracts and seasonal work,,,
Landscaping/Hardscaping,Camelback Hardscapes,,4+ hours,,,https://www.yelp.com/search?cflt=landscaping&find_loc=Phoenix%2C+AZ,5,"Hardscaping services involve high-value projects like patios, retaining walls, and outdoor living spaces with strong purchase intent",,,
Landscaping,Salvador Landscaping,,3+ hours,,,https://www.yelp.com/search?cflt=landscaping&find_loc=Phoenix%2C+AZ,4,Established landscaping company likely serving both residential and commercial clients with regular maintenance needs,,,
Window Cleaning,AZ Window Cleaners,,3+ hours,,,https://www.yelp.com/biz/az-window-cleaners-phoenix,3,Window cleaning services have moderate purchase likelihood with regular residential and commercial maintenance contracts,,,
Window Cleaning,Your Window Guy,,4+ hours,(602) 538-1535,,https://www.yelp.com/search?cflt=windowwashing&find_loc=Phoenix%2C+AZ,3,"Local window cleaning service with phone contact available, moderate purchase intent for regular cleaning services",,,
Shades & Blinds,"Phoenix Shades, Shutters and Drapery",,3+ hours,,,https://www.yelp.com/biz/phoenix-shades-shutters-and-drapery-peoria,4,Window treatment businesses typically have high-value projects with strong purchase intent for home improvement,,,
Shades & Blinds,Arizona Blinds and More,,3+ hours,,,https://www.yelp.com/biz/arizona-blinds-and-more-peoria,4,"Specialized in outdoor shades and blinds with recent positive reviews, indicating active business with good purchase potential",,,
General Contractors,Holtzman Remodeling,,4+ hours,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,5,Remodeling contractors have high purchase intent with 158 reviews indicating established business and high-value project potential,,,
General Contractors,Stellar Home Services,,3+ hours,,,https://www.yelp.com/search?cflt=contractors&find_loc=Phoenix%2C+AZ,4,Home services contractor with 154 reviews showing established customer base and regular service demand,,,
Blind & Window Cleaning Services,"About Blind Cleaning, Inc",Jim (Owner mentioned in reviews),4+ hours (Limited business hours Mon-Fri 10am-4pm),(602) 404-7250,https://www.blindcleaningarizona.com/,,4,"Established business since 1995, veteran-owned, 30 years experience, 5.0 rating with 15 reviews, professional website, multiple service offerings",,,
